CMDLINE /Library/Frameworks/Python.framework/Versions/3.11/bin/python3.11 server.py
MEM 32.691406 1692430278.2700
MEM 32.691406 1692430278.3739
MEM 32.691406 1692430278.4744
MEM 32.691406 1692430278.5781
MEM 32.691406 1692430278.6811
MEM 32.691406 1692430278.7826
MEM 32.691406 1692430278.8834
MEM 32.691406 1692430278.9866
MEM 32.691406 1692430279.0909
MEM 32.691406 1692430279.1938
MEM 32.691406 1692430279.2943
MEM 32.691406 1692430279.3986
MEM 32.691406 1692430279.5080
MEM 32.691406 1692430279.6082
MEM 32.691406 1692430279.7092
MEM 32.691406 1692430279.8136
MEM 32.691406 1692430279.9147
MEM 32.691406 1692430280.0199
MEM 32.691406 1692430280.1206
MEM 32.691406 1692430280.2250
MEM 32.691406 1692430280.3295
MEM 32.691406 1692430280.4321
MEM 32.691406 1692430280.5333
MEM 32.691406 1692430280.6380
MEM 32.691406 1692430280.7395
MEM 32.691406 1692430280.8427
MEM 32.691406 1692430280.9439
MEM 32.691406 1692430281.0487
MEM 32.691406 1692430281.1499
MEM 32.691406 1692430281.2545
MEM 32.691406 1692430281.3563
MEM 32.691406 1692430281.4613
MEM 32.691406 1692430281.5658
MEM 32.691406 1692430281.6667
MEM 32.691406 1692430281.7692
MEM 32.691406 1692430281.8710
MEM 32.691406 1692430281.9760
MEM 32.691406 1692430282.0765
MEM 32.691406 1692430282.1773
MEM 32.691406 1692430282.2812
MEM 32.691406 1692430282.3851
MEM 32.691406 1692430282.4855
MEM 32.691406 1692430282.5866
MEM 32.691406 1692430282.6913
MEM 32.691406 1692430282.7966
MEM 32.691406 1692430282.9000
MEM 32.691406 1692430283.0039
MEM 32.691406 1692430283.1078
MEM 32.691406 1692430283.2082
MEM 32.691406 1692430283.3087
MEM 32.691406 1692430283.4092
MEM 32.691406 1692430283.5097
MEM 32.691406 1692430283.6142
MEM 32.691406 1692430283.7181
MEM 32.691406 1692430283.8187
MEM 32.691406 1692430283.9211
MEM 32.691406 1692430284.0228
MEM 32.691406 1692430284.1280
MEM 32.691406 1692430284.2326
MEM 32.691406 1692430284.3363
MEM 32.691406 1692430284.4412
MEM 32.691406 1692430284.5446
MEM 32.691406 1692430284.6490
MEM 32.691406 1692430284.7532
MEM 32.691406 1692430284.8566
MEM 32.691406 1692430284.9612
MEM 32.691406 1692430285.0649
MEM 32.691406 1692430285.1683
MEM 32.691406 1692430285.2732
MEM 32.691406 1692430285.3772
MEM 32.691406 1692430285.4812
MEM 32.691406 1692430285.5852
MEM 32.691406 1692430285.6892
MEM 32.691406 1692430285.7941
MEM 32.691406 1692430285.8987
MEM 32.691406 1692430286.0026
MEM 32.691406 1692430286.1052
MEM 32.691406 1692430286.2092
MEM 32.691406 1692430286.3132
MEM 32.691406 1692430286.4141
MEM 32.691406 1692430286.5193
MEM 32.691406 1692430286.6196
MEM 32.691406 1692430286.7207
MEM 32.691406 1692430286.8242
MEM 32.691406 1692430286.9291
MEM 32.691406 1692430287.0325
MEM 32.691406 1692430287.1349
MEM 32.691406 1692430287.2390
MEM 32.691406 1692430287.3431
MEM 32.691406 1692430287.4437
MEM 32.691406 1692430287.5469
MEM 32.691406 1692430287.6489
MEM 32.691406 1692430287.7519
MEM 32.691406 1692430287.8532
MEM 32.691406 1692430287.9537
MEM 32.691406 1692430288.0587
MEM 32.691406 1692430288.1638
MEM 32.691406 1692430288.2689
MEM 32.691406 1692430288.3696
MEM 32.691406 1692430288.4700
MEM 32.691406 1692430288.5709
MEM 32.691406 1692430288.6721
MEM 32.691406 1692430288.7743
MEM 32.691406 1692430288.8793
MEM 32.691406 1692430288.9844
MEM 32.691406 1692430289.0863
